hotel_name,hotel_url,hotel_location,group_label,brand_label,group_type,lat,lon,formatted_address,provider,confidence,place_id,types,partial_match,status
Conrad Abu Dhabi Etihad Towers,https://www.hilton.com/en/hotels/auhetci-conrad-abu-dhabi-etihad-towers/,,Conrad Hotels & Resorts,Conrad Hotels & Resorts,Brand,24.4584497,54.32230509999999,Corniche St - Al Bateen - W32 - Abu Dhabi - United Arab Emirates,google_places,PLACE_DETAILS,ChIJIX9-hZNlXj4RvO2QAgB5g18,establishment;lodging;point_of_interest;spa,False,PLACES:auhetci conrad abu dhabi etihad towers Conrad Hotels & Resorts Hotel
Conrad Algarve,https://www.hilton.com/en/hotels/faoapci-conrad-algarve/,,Conrad Hotels & Resorts,Conrad Hotels & Resorts,Brand,37.0632425,-8.0289784,"Estr. da Quinta do Lago, 8135-106 Almancil, Portugal",google_places,PLACE_DETAILS,ChIJ7_5NAXOzGg0RL61Ki4qSAo4,establishment;lodging;point_of_interest;spa,False,PLACES:faoapci conrad algarve Conrad Hotels & Resorts Hotel
Conrad Bali,https://www.hilton.com/en/hotels/bpncici-conrad-bali/,,Conrad Hotels & Resorts,Conrad Hotels & Resorts,Brand,-8.7811376,115.2249964,"Jl. Pratama No.168, Tanjung, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",google_places,PLACE_DETAILS,ChIJzR9XaA9D0i0RKM9T4eQUmdo,establishment;lodging;point_of_interest;spa,False,PLACES:bpncici conrad bali Conrad Hotels & Resorts Hotel
Conrad Bora Bora Nui,https://www.hilton.com/en/hotels/pptbnci-conrad-bora-bora-nui/,,Conrad Hotels & Resorts,Conrad Hotels & Resorts,Brand,-16.5297376,-151.7678688,"BP 502, Bora-Bora 98730, French Polynesia",google_places,PLACE_DETAILS,ChIJk-lncOC8vXYRc_-EYKBkcSY,establishment;lodging;point_of_interest,False,PLACES:pptbnci conrad bora bora nui Conrad Hotels & Resorts Hotel
Conrad Chia Laguna Sardinia,https://www.hilton.com/en/hotels/olbclci-conrad-chia-laguna-sardinia/,,Conrad Hotels & Resorts,Conrad Hotels & Resorts,Brand,38.8970768,8.8693673,"Viale dei Fenicotteri, 52, 09010 Domus de Maria CA, Italy",google_places,PLACE_DETAILS,ChIJTwe_N5bd5hIRtMqbaRJ1MJw,establishment;lodging;point_of_interest;spa,False,PLACES:olbclci conrad chia laguna sardinia Conrad Hotels & Resorts Hotel
Conrad Fort Lauderdale Beach,https://www.hilton.com/en/hotels/fllcici-conrad-fort-lauderdale-beach/,,Conrad Hotels & Resorts,Conrad Hotels & Resorts,Brand,26.1308735,-80.10422319999999,"551 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL 33304, USA",google_places,PLACE_DETAILS,ChIJYzGj5NMB2YgRMg7lRxEE1is,establishment;lodging;point_of_interest,False,PLACES:fllcici conrad fort lauderdale beach Conrad Hotels & Resorts Hotel
Conrad Hangzhou Tonglu,https://www.hilton.com/en/hotels/hghyfci-conrad-hangzhou-tonglu/,,Conrad Hotels & Resorts,Conrad Hotels & Resorts,Brand,29.9837492,119.4216053,"桐庐县分水镇天溪湖旅游度假区印渚2号, Tong Lu Xian, Hang Zhou Shi, Zhe Jiang Sheng, China, 311519",google_places,PLACE_DETAILS,ChIJhS2YnVNLSjQRVAZSw-XysjQ,establishment;lodging;point_of_interest,False,PLACES:hghyfci conrad hangzhou tonglu Conrad Hotels & Resorts Hotel
Conrad Jiuzhaigou,https://www.hilton.com/en/hotels/jzhcici-conrad-jiuzhaigou/,,Conrad Hotels & Resorts,Conrad Hotels & Resorts,Brand,33.3060378,103.8135625,"阿坝州, Lang Zhai Cun, 漳扎镇, Jiu Zhai Gou Xian, 四川省, China, 623402",google_places,PLACE_DETAILS,ChIJcQWnE3WU9zYR5M2bxHd8al8,establishment;lodging;point_of_interest,False,PLACES:jzhcici conrad jiuzhaigou Conrad Hotels & Resorts Hotel
Conrad Koh Samui,https://www.hilton.com/en/hotels/usmksci-conrad-koh-samui/,,Conrad Hotels & Resorts,Conrad Hotels & Resorts,Brand,9.420346499999999,99.9292121,"49/8-9 หมู่ที่ 4 Hillcrest Road Tambon Taling Ngam, Amphoe Ko Samui, Chang Wat Surat Thani 84140, Thailand",google_places,PLACE_DETAILS,ChIJ-2eHfPX1VDARiF6gnWsYiIY,establishment;lodging;point_of_interest;spa,False,PLACES:usmksci conrad koh samui Conrad Hotels & Resorts Hotel
Conrad Las Vegas at Resorts World,https://www.hilton.com/en/hotels/rslvhvh-resorts-world-las-vegas/rooms/conrad-las-vegas/,,Conrad Hotels & Resorts,Conrad Hotels & Resorts,Brand,36.1346181,-115.1655924,"111 Resorts World Ave, Las Vegas, NV 89109, USA",google_places,PLACE_DETAILS,ChIJqXJSOhPEyIAR4P3NJ0XNHy0,establishment;lodging;point_of_interest,False,PLACES:conrad las vegas Conrad Hotels & Resorts Hotel
