hotel_name,hotel_url,group_label,group_type
Conrad Abu Dhabi Etihad Towers,https://www.hilton.com/en/hotels/auhetci-conrad-abu-dhabi-etihad-towers/,Conrad Hotels & Resorts,Brand
Conrad Algarve,https://www.hilton.com/en/hotels/faoapci-conrad-algarve/,Conrad Hotels & Resorts,Brand
Conrad Bali,https://www.hilton.com/en/hotels/bpncici-conrad-bali/,Conrad Hotels & Resorts,Brand
Conrad Bora Bora Nui,https://www.hilton.com/en/hotels/pptbnci-conrad-bora-bora-nui/,Conrad Hotels & Resorts,Brand
Conrad Chia Laguna Sardinia,https://www.hilton.com/en/hotels/olbclci-conrad-chia-laguna-sardinia/,Conrad Hotels & Resorts,Brand
Conrad Fort Lauderdale Beach,https://www.hilton.com/en/hotels/fllcici-conrad-fort-lauderdale-beach/,Conrad Hotels & Resorts,Brand
Conrad Hangzhou Tonglu,https://www.hilton.com/en/hotels/hghyfci-conrad-hangzhou-tonglu/,Conrad Hotels & Resorts,Brand
Conrad Jiuzhaigou,https://www.hilton.com/en/hotels/jzhcici-conrad-jiuzhaigou/,Conrad Hotels & Resorts,Brand
Conrad Koh Samui,https://www.hilton.com/en/hotels/usmksci-conrad-koh-samui/,Conrad Hotels & Resorts,Brand
Conrad Las Vegas at Resorts World,https://www.hilton.com/en/hotels/rslvhvh-resorts-world-las-vegas/rooms/conrad-las-vegas/,Conrad Hotels & Resorts,Brand
Conrad Maldives Rangali Island,https://www.hilton.com/en/hotels/mlehici-conrad-maldives-rangali-island/,Conrad Hotels & Resorts,Brand
Conrad Orlando,https://www.hilton.com/en/hotels/orlcici-conrad-orlando/,Conrad Hotels & Resorts,Brand
Conrad Punta de Mita,https://www.hilton.com/en/hotels/pvrpmci-conrad-punta-de-mita/,Conrad Hotels & Resorts,Brand
Conrad Rabat Arzana,https://www.hilton.com/en/hotels/rbacici-conrad-rabat-arzana/,Conrad Hotels & Resorts,Brand
Conrad Tulum Riviera Maya,https://www.hilton.com/en/hotels/cuncici-conrad-tulum-riviera-maya/,Conrad Hotels & Resorts,Brand
"Baia di Chia Resort Sardinia, Curio Collection by Hilton",https://www.hilton.com/en/hotels/olbbrqq-baia-di-chia-resort-sardinia/,Curio Collection by Hilton,Brand
"Baker's Cay Resort Key Largo, Curio Collection by Hilton",https://www.hilton.com/en/hotels/kylcuqq-bakers-cay-resort-key-largo/,Curio Collection by Hilton,Brand
"Boeira Garden Hotel Porto Gaia, Curio Collection by Hilton",https://www.hilton.com/en/hotels/opobgqq-boeira-garden-hotel-porto-gaia/,Curio Collection by Hilton,Brand
"Botanika Osa Peninsula, Curio Collection by Hilton",https://www.hilton.com/en/hotels/pjmcrqq-botanika-osa-peninsula/,Curio Collection by Hilton,Brand
"Boulders Resort & Spa Scottsdale, Curio Collection by Hilton",https://www.hilton.com/en/hotels/phxrsqq-boulders-resort-and-spa-scottsdale/,Curio Collection by Hilton,Brand
"Casa Marina Key West, Curio Collection by Hilton",https://www.hilton.com/en/hotels/eywcmqq-casa-marina-key-west/,Curio Collection by Hilton,Brand
"Cloudland at McLemore Resort Lookout Mountain, Curio",https://www.hilton.com/en/hotels/atlokqq-cloudland-at-mclemore-resort-lookout-mountain/,Curio Collection by Hilton,Brand
"Diplomat Beach Resort Hollywood, Curio Collection by Hilton",https://www.hilton.com/en/hotels/flldhqq-the-diplomat-beach-resort-hollywood/,Curio Collection by Hilton,Brand
"Domes Aulus Elounda All-Inclusive Resort, Curio by Hilton",https://www.hilton.com/en/hotels/herbsqq-domes-aulus-elounda-all-inclusive-resort/,Curio Collection by Hilton,Brand
"Faro Blanco Resort & Yacht Club Marathon, Curio by Hilton",https://www.hilton.com/en/hotels/mthfbqq-faro-blanco-resort-and-yacht-club-marathon/,Curio Collection by Hilton,Brand
"Gale South Beach, Curio Collection by Hilton",https://www.hilton.com/en/hotels/miagsqq-gale-south-beach/,Curio Collection by Hilton,Brand
"Grand Hotel des Sablettes Plage, Curio Collection by Hilton",https://www.hilton.com/en/hotels/tlnspqq-grand-hotel-des-sablettes-plage/,Curio Collection by Hilton,Brand
"Harbor Club St. Lucia, Curio Collection by Hilton",https://www.hilton.com/en/hotels/sluhcqq-harbor-club-st-lucia/,Curio Collection by Hilton,Brand
"Higueron Hotel Malaga, Curio Collection by Hilton",https://www.hilton.com/en/hotels/agprhqq-higueron-hotel-malaga/,Curio Collection by Hilton,Brand
"Hotel Alpenrock Breckenridge, Curio Collection by Hilton",https://www.hilton.com/en/hotels/qkbbrqq-alpenrock-breckenridge/,Curio Collection by Hilton,Brand
"Hotel Maren Fort Lauderdale Beach, Curio Collection by Hilton",https://www.hilton.com/en/hotels/fllucqq-hotel-maren-fort-lauderdale-beach/,Curio Collection by Hilton,Brand
"Hotel del Coronado, Curio Collection by Hilton",https://www.hilton.com/en/hotels/sanqqqq-hotel-del-coronado/,Curio Collection by Hilton,Brand
"Il Picciolo Etna Golf Resort & Spa, Curio Collection by Hilton",https://www.hilton.com/en/hotels/ctasiqq-il-piccolo-etna-golf-resort-and-spa/,Curio Collection by Hilton,Brand
Indura Beach & Golf Resort Curio Collection by Hilton,https://www.hilton.com/en/hotels/teaibqq-indura-beach-and-golf-resort/,Curio Collection by Hilton,Brand
"Isla Brown Chania Resort, Curio Collection by Hilton",https://www.hilton.com/en/hotels/heribqq-isla-brown-resort-chania/,Curio Collection by Hilton,Brand
"Isla Brown Corinthia Resort & Spa, Curio Collection by Hilton",https://www.hilton.com/en/hotels/athibqq-isla-brown-corinthia-resort-and-spa/,Curio Collection by Hilton,Brand
"Koi Resort Saint Kitts, Curio Collection by Hilton",https://www.hilton.com/en/hotels/skbkrqq-koi-resort-saint-kitts/,Curio Collection by Hilton,Brand
"La Festa Phu Quoc, Curio Collection by Hilton",https://www.hilton.com/en/hotels/pqcpqqq-la-festa-phu-quoc/,Curio Collection by Hilton,Brand
"La Quinta Resort & Club, Curio Collection by Hilton",https://www.hilton.com/en/hotels/psplqqq-la-quinta-resort-and-club/,Curio Collection by Hilton,Brand
"Lindian Village Beach Resort Rhodes, Curio Collection by Hilton",https://www.hilton.com/en/hotels/rholiqq-lindian-village-beach-resort-rhodes/,Curio Collection by Hilton,Brand
"Mangias Santa Teresa Sardinia, Curio Collection by Hilton",https://www.hilton.com/en/hotels/olbccqq-mangias-santa-teresa-sardinia/,Curio Collection by Hilton,Brand
"Mangrove Beach Corendon Curacao All-Inclusive Resort, Curio",https://www.hilton.com/en/hotels/curryqq-mangrove-beach-corendon-curacao-all-inclusive-resort/,Curio Collection by Hilton,Brand
"SAii Lagoon Maldives, Curio Collection by Hilton",https://www.hilton.com/en/hotels/mlegsqq-saii-lagoon-maldives/,Curio Collection by Hilton,Brand
"Sea Breeze Santorini Beach Resort, Curio Collection",https://www.hilton.com/en/hotels/jtrsbqq-sea-breeze-santorini-beach-resort,Curio Collection by Hilton,Brand
"Semeli Coast Mykonos, Curio Collection by Hilton",https://www.hilton.com/en/hotels/jmkmbqq-semeli-coast-mykonos,Curio Collection by Hilton,Brand
"Skaneateles Fields Resort & Spa, Curio Collection by Hilton",https://www.hilton.com/en/hotels/syrslqq-skaneateles-fields-resort-and-spa,Curio Collection by Hilton,Brand
"Sulia House Porto Rotondo, Curio Collection by Hilton",https://www.hilton.com/en/hotels/olbprqq-sulia-house-porto-rotondo,Curio Collection by Hilton,Brand
"Sunseeker Resort Florida Gulf Coast, Curio by Hilton",https://www.hilton.com/en/hotels/pgdchqq-sunseeker-resort-florida-gulf-coast,Curio Collection by Hilton,Brand
"The Club Cala San Miguel Hotel Ibiza, Curio Collection by Hilton",https://www.hilton.com/en/hotels/ibzseqq-cala-san-miguel-ibiza-resort,Curio Collection by Hilton,Brand
"The Hiatus Clearwater Beach, Curio Collection by Hilton",https://www.hilton.com/en/hotels/tparkqq-the-hiatus-clearwater-beach,Curio Collection by Hilton,Brand
"The Reach Key West, Curio Collection by Hilton",https://www.hilton.com/en/hotels/eywqqqq-the-reach-key-west/,Curio Collection by Hilton,Brand
"The Rif at Mangrove Beach All-Inclusive, Curio by Hilton",https://www.hilton.com/en/hotels/curmgqq-the-rif-at-mangrove-beach-corendon-curacao-all-inclusive/,Curio Collection by Hilton,Brand
"The Royal Senses Resort Crete, Curio Collection by Hilton",https://www.hilton.com/en/hotels/herrsqq-the-royal-senses-resort-and-spa-crete/,Curio Collection by Hilton,Brand
"The Scottsdale Resort and Spa, Curio Collection by Hilton",https://www.hilton.com/en/hotels/phxssqq-the-scottsdale-resort-and-spa/,Curio Collection by Hilton,Brand
"The Singer Oceanfront Resort, Curio Collection by Hilton",https://www.hilton.com/en/hotels/pbisiqq-the-singer-oceanfront-resort/,Curio Collection by Hilton,Brand
"The WB Abu Dhabi, Curio Collection by Hilton",https://www.hilton.com/en/hotels/auhwbqq-the-wb-abu-dhabi-hotel/,Curio Collection by Hilton,Brand
"The Woodlands Resort, Curio Collection by Hilton",https://www.hilton.com/en/hotels/iahwrqq-the-woodlands-resort/,Curio Collection by Hilton,Brand
"Virgin Hotels Las Vegas, Curio Collection by Hilton",https://www.hilton.com/en/hotels/lasvgqq-virgin-hotels-las-vegas/,Curio Collection by Hilton,Brand
"Waterstone Resort & Marina Boca Raton, Curio",https://www.hilton.com/en/hotels/bctbuqq-waterstone-resort-and-marina-boca-raton/,Curio Collection by Hilton,Brand
